nct,title,status,why_stopped,phase,enrollment,enrollment_type,allocation,masking,purpose,start,primary_completion,completion,first_posted,last_update,sponsor,collaborators,conditions,interventions,primary_outcome,countries,has_korea
NCT00510471,Personalized Active Immunotherapy (Vaccine Therapy) and Sargramostim Given After Standard of Care Treatment With Rituximab and Chemotherapy for Initial Treatment With Lymphoma,TERMINATED,,PHASE2,,,NA,NONE,,2007-05,,,2007-08-02,2008-03-18,Genitope Corporation,,Non-Hodgkin's Lymphoma,autologous immunoglobulin idiotype-KLH conjugate vaccine,,United States,
NCT00514189,Feasibility Study of Acute Myelogenous Leukemia mRNA Plus Lysate Loaded Dendritic Cell Vaccines,TERMINATED,Terminated early due to slow accrual.,PHASE1,2,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2007-07,2009-12,2009-12,2007-08-09,2012-07-30,M.D. Anderson Cancer Center,National Cancer Institute (NCI),Leukemia,Autologous Dendritic Cells,Time to Adverse Event (AE),United States,
NCT00874796,Efficacy and Safety Study of GS-9450 Treatment for 6 Months in Patients With Chronic Hepatitis C Virus Infection,TERMINATED,Reports of significant laboratory abnormalities and adverse events in a number of clinical study participants.,PHASE2,307,ACTUAL,NON_RANDOMIZED,QUADRUPLE,TREATMENT,2009-05,2010-04,2010-07,2009-04-03,2014-02-04,Gilead Sciences,,HCV Infection,GS-9450; Placebo,"Histologic response, defined as a >= 2-point decrease in Knodell necroinflammatory score with no concurrent worsening in the Knodell fibrosis score, at Week 24 .",Canada; Germany; Poland; Puerto Rico; United Kingdom; United States,
NCT00961844,Trial for Vaccine Therapy With Dendritic Cells in Patients With Metastatic Malignant Melanoma,TERMINATED,Logistical problems,"PHASE1,PHASE2",15,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2009-08,2012-06,2012-06,2009-08-19,2021-02-26,Steinar Aamdal,,Metastatic Malignant Melanoma,"Dendritic cells - transfected with hTERT-, survivin- and tumor cell derived mRNA + ex vivo T cell expansion and reinfusion; Temozolomide","Safety and toxicity of vaccination with DC transfected h-TERT mRNA, survivin mRNA and tumor cell mRNA, lymphodepletion treatment and T cell expansion and reinfusion in patients with metastatic malignant melanoma.",Norway,
NCT01334047,Trial of Vaccine Therapy in Recurrent Platinum Sensitive Ovarian Cancer Patients,TERMINATED,The study needed to be terminated due to new knowledge about cancer vaccines. A new protocol with an expected more efficient vaccine is currently being written.,"PHASE1,PHASE2",5,ACTUAL,NA,NONE,TREATMENT,2011-04,2013-08,2013-08,2011-04-12,2021-02-26,Steinar Aamdal,,Recurrent Epithelial Ovarian Cancer,DC-006 vaccine,Frequency and severity of adverse events,Norway,
NCT01545141,Chemokine-Modulatory Regimen for Recurrent Resectable Colorectal Cancer,TERMINATED,,"PHASE1,PHASE2",15,ACTUAL,RANDOMIZED,NONE,TREATMENT,2012-10,2016-04-08,2017-04-08,2012-03-06,2023-10-27,Roswell Park Cancer Institute,AIM ImmunoTech Inc.,"Colorectal Cancer; Colorectal Carcinoma; Colorectal Tumors; Neoplasms, Colorectal",Chemokin Modulatory Regimen (5 MU/m2); Chemokin Modulatory Regimen (10 MU/m2); Chemokin Modulatory Regimen (20 MU/m2),Change in the Number of Tumor-infiltrating CD8+ Cells.,United States,
NCT01689974,Phase II Randomized Trial of Ipilimumab Versus Ipilimumab and Radiotherapy in Metastatic Melanoma,TERMINATED,Study terminated because PI left institution. Planned Statistical analysis not available,PHASE2,10,ACTUAL,RANDOMIZED,NONE,TREATMENT,2013-01,2015-03,2015-03,2012-09-21,2018-02-23,NYU Langone Health,,Metastatic Melanoma,Ipilimumab; Radiation Therapy,Response Rates of Ipilimumab Alone and of Ipilimumab With Radiation Therapy and to Estimate the Difference Between Response Rates With Ipilimumab Alone and Ipilimumab With Radiation Therapy,United States,
NCT02140138,An Open Label Randomised Trial of RNActive® Cancer Vaccine in High Risk and Intermediate Risk Patients With Prostate Cancer,TERMINATED,Recruitment was terminated after enrolment of 35 instead of 36 evaluable patients for administrative reasons.,PHASE2,35,ACTUAL,RANDOMIZED,NONE,TREATMENT,2014-06,2016-04,2016-04,2014-05-16,2016-06-13,CureVac,,Prostate Carcinoma,CV9104; needle free injection device (Tropis®),Induction of antigen-specific cellular and humoral immune response to the vaccine antigens.,Germany,
NCT02510950,Neoepitope-based Personalized Vaccine Approach in Patients With Newly Diagnosed Glioblastoma,TERMINATED,Low accrual,PHASE1,1,ACTUAL,NA,NONE,TREATMENT,2015-12-03,2017-02-14,2017-02-14,2015-07-29,2017-11-17,Washington University School of Medicine,,"Glioblastoma Multiforme; Astrocytoma, Grade IV",Personalized peptide vaccine; Poly-ICLC; Temozolomide,Safety and tolerability of adjuvant personalized neoantigen peptide vaccine with poly-ICLC as measured by grade 3 and 4 adverse events as defined by CTCAE v. 4.03; Feasibility of the peptide vaccine with poly-ICLC as measured by the ability to identify patient tumor-derived candidate neoantigens and generate a tumor-specific vaccine from time of initial diagnosis to time of proposed administration,United States,
NCT02757391,CD8+ T Cell Therapy and Pembrolizumab in Treating Patients With Metastatic Gastrointestinal Tumors,TERMINATED,Study halted prematurely and will not resume; participants are no longer being examined or receiving intervention.,PHASE1,1,ACTUAL,NA,NONE,TREATMENT,2019-08-09,2020-10-02,2020-10-02,2016-05-02,2020-10-30,M.D. Anderson Cancer Center,National Cancer Institute (NCI),Colorectal Adenocarcinoma; Metastatic Cholangiocarcinoma; Metastatic Colorectal Carcinoma; Metastatic Digestive System Carcinoma; Metastatic Esophageal Carcinoma; Metastatic Gastric Carcinoma; Metastatic Pancreatic Adenocarcinoma; Stage IV Colorectal Cancer AJCC v7; Stage IV Esophageal Cancer AJCC v7; Stage IV Gastric Cancer AJCC v7; Stage IV Pancreatic Cancer AJCC v6 and v7; Stage IVA Colorectal Cancer AJCC v7; Stage IVB Colorectal Cancer AJCC v7,Adoptive Immunotherapy; Aldesleukin; Cyclophosphamide; Laboratory Biomarker Analysis; Pembrolizumab,Incidence of toxicity defined as grade 3 or 4 non-hematologic or grade 4 hematologic toxicity per Common Terminology Criteria for Adverse Events version 4.0,United States,
NCT02831933,Trial of Radiation and Gene Therapy Before Nivolumab for Metastatic Non-Small Cell Lung Carcinoma and Uveal Melanoma,TERMINATED,Lack of funding,PHASE2,11,ACTUAL,NA,NONE,TREATMENT,2017-02-15,2020-11-05,2020-11-05,2016-07-13,2023-09-21,"Eric Bernicker, MD",,Lung Squamous Cell Carcinoma Stage IV; Nonsquamous Nonsmall Cell Neoplasm of Lung; Metastatic Uveal Melanoma,ADV/HSV-tk; Valacyclovir; SBRT; nivolumab,Overall Response Rate (ORR),United States,
NCT02933073,Study of Oncoimmunome for the Treatment of Stage III/IV Ovarian Carcinoma,TERMINATED,Study recruitment is temporary on hold by the sponsor due to patient recruitment challenges and the ongoing review of the investigational adjuvant.,PHASE1,8,ACTUAL,NA,NONE,TREATMENT,2016-11,2022-08,2022-08,2016-10-14,2022-11-07,UConn Health,,Ovarian Cancer,OncoImmunome,Monitoring of treatment-related adverse events as assessed by CTCAE v4.0 in subjects immunized with Oncoimmunome,United States,
NCT02992977,Safety and Tolerability Study of AutoSynVax™ Vaccine in Subjects With Advanced Cancer,TERMINATED,To enable development of an enhanced version of the vaccine.,PHASE1,3,ACTUAL,NA,NONE,TREATMENT,2017-01,2018-12,2019-12,2016-12-14,2020-06-02,Agenus Inc.,,Advanced Cancer,AutoSynVax™ vaccine,Incidence of Treatment-Emergence Adverse Events (Safety and Tolerability); Recommended dose for further development,United States,
NCT03121677,Personalized Tumor Vaccine Strategy and PD-1 Blockade in Patients With Follicular Lymphoma,TERMINATED,Vaccine manufacturing has been suspended,PHASE1,4,ACTUAL,NA,NONE,TREATMENT,2018-10-16,2020-09-24,2023-08-07,2017-04-20,2023-08-14,Washington University School of Medicine,,Follicular Lymphoma,Personalized tumor vaccine; Poly ICLC; Nivolumab; Peripheral blood draws; Leukapheresis; Rituximab; Biopsy,Feasibility and safety of vaccine in combination with nivolumab +/1 anti-CD20 monoclonal antibody therapy as measured by the number of participants whose personal vaccines can be manufactured and delivered without unacceptable toxicity,United States,
NCT03122106,Neoantigen DNA Vaccine in Pancreatic Cancer Patients Following Surgical Resection and Adjuvant Chemotherapy,TERMINATED,Loss of funding,PHASE1,15,ACTUAL,NA,NONE,TREATMENT,2018-01-05,2021-09-03,2022-08-13,2017-04-20,2023-10-10,Washington University School of Medicine,National Cancer Institute (NCI),Pancreatic Cancer; Pancreas Cancer; Cancer of the Pancreas,Personalized neoantigen DNA vaccine; TDS-IM Electrode Array System; Peripheral blood draws,Safety of Neoantigen DNA Vaccine as Measured by the Number of Subjects Experiencing Each Type of Treatment-related Adverse Event,United States,
NCT03199040,Neoantigen DNA Vaccine Alone vs. Neoantigen DNA Vaccine Plus Durvalumab in Triple Negative Breast Cancer Patients Following Standard of Care Therapy,TERMINATED,Drugs/equipment unavailable and insufficient funding,PHASE1,18,ACTUAL,RANDOMIZED,NONE,TREATMENT,2019-07-23,2022-11-21,2023-05-01,2017-06-26,2024-05-28,Washington University School of Medicine,MedImmune LLC; National Cancer Institute (NCI); National Institutes of Health (NIH),Triple Negative Breast Cancer; Triple Negative Breast Neoplasms; TNBC - Triple-Negative Breast Cancer; Triple-negative Breast Carcinoma,Durvalumab; Neoantigen DNA vaccine; TDS-IM system (Inchor Medical Systems); Peripheral blood draw,Safety of Neoantigen DNA Vaccines Given Alone or in Combination With Durvalumab as Measured by Number of Adverse Events Experienced by Patient,United States,
NCT03361800,"Window of Opportunity Trial of Entinostat in Patients With Newly Diagnosed Stage I-IIIC,TNBC",TERMINATED,Funding withdrawn.,EARLY_PHASE1,5,ACTUAL,NA,NONE,BASIC_SCIENCE,2018-11-28,2019-09-18,2019-10-11,2017-12-05,2024-03-25,UNC Lineberger Comprehensive Cancer Center,Syndax Pharmaceuticals; National Cancer Institute (NCI),Breast Cancer; Invasive Breast Cancer; ER-Negative PR-Negative HER2-Negative Breast Cancer,Entinostat,Decrease in Ki-67 mRNA following treatment with entinostat across TNBC breast cancers,United States,
NCT03396575,Brain Stem Gliomas Treated With Adoptive Cellular Therapy During Focal Radiotherapy Recovery Alone or With Dose-intensified Temozolomide (Phase I),TERMINATED,Not feasible to accrue due to competing studies,PHASE1,11,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2018-07-17,2025-03-20,2025-03-20,2018-01-11,2025-10-29,University of Florida,Accelerate Brain Cancer Cure; Lyla Nsouli Foundation,Diffuse Intrinsic Pontine Glioma (DIPG); Brain Stem Glioma,TTRNA-DC vaccines with GM-CSF; TTRNA-xALT; Cyclophosphamide + Fludarabine Lymphodepletive Conditioning; Dose-Intensified TMZ; Td vaccine; Autologous Hematopoietic Stem Cells (HSC),Feasibility and safety of adoptive cellular therapy in pediatric patients with DIPG with or without dose-intensified TMZ during cycles of DC vaccination; Determine the maximally achievable dose (MAD) or maximum tolerated dose (MTD) of xALT plus DC and HSC in Group A and Group B subjects,United States,
NCT03407170,Immunologic Determinants of Response to Pembrolizumab (MK-3475) in Advanced Melanoma (MK-3475-161/KEYNOTE-161),TERMINATED,Lack of Accrual,PHASE2,1,ACTUAL,NA,NONE,TREATMENT,2018-06-28,2019-08-14,2019-08-14,2018-01-23,2020-07-15,Merck Sharp & Dohme LLC,,Advanced Melanoma,pembrolizumab,Mean Fraction of Cytotoxic T-lymphocytes (FCT) for Participants With Response Versus Participants With Progression; Average Specific Cytotoxic T-lymphocyte Frequency Ratio (ASCTFR) for Participants With Response Versus Participants With Progression; Change in Baseline of Fraction of Cytotoxic T-lymphocytes (FCT) for Participants With Response Versus Participants With Progression,United States,
NCT03422094,"Neoantigen-based Personalized Vaccine Combined With Immune Checkpoint Blockade Therapy in Patients With Newly Diagnosed, Unmethylated Glioblastoma",TERMINATED,Manufacturer changed focus to cell therapy,PHASE1,3,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2018-10-31,2020-04-26,2020-12-31,2018-02-05,2021-10-27,Washington University School of Medicine,Bristol-Myers Squibb,Glioblastoma,NeoVax; Nivolumab; Ipilimumab; Research blood draw; Leukapheresis for research,Safety and tolerability of regimen as measured by a <= 33% dose-limiting toxicity (DLT) rate for a given cohort; Feasibility of generating a personalized neoantigen peptide vaccine as measured by the ability to identify candidate tumor-specific neoantigens; Feasibility of generating a personalized neoantigen peptide vaccine as measured by the the ability to manufacture a neoantigen-based synthetic,United States,
NCT03480152,"Messenger RNA (mRNA)-Based, Personalized Cancer Vaccine Against Neoantigens Expressed by the Autologous Cancer",TERMINATED,slow accrual,"PHASE1,PHASE2",5,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2018-05-18,2019-06-25,2019-11-05,2018-03-29,2020-06-02,National Cancer Institute (NCI),,Melanoma; Colon Cancer; Gastrointestinal Cancer; Genitourinary Cancer; Hepatocellular Cancer,"National Cancer Institute (NCI)-4650, a messenger ribonucleic acid (mRNA)-based, Personalized Cancer Vaccine",Number of Participants Who Had a Clinical Response (Complete Response + Partial Response) to Treatment (Objective Tumor Regression); Number of Non-Serious Adverse Events Probably Related to Treatment,United States,
NCT03597282,A Personal Cancer Vaccine (NEO-PV-01) and APX005M or Ipilimumab With Nivolumab in Patients With Advanced Melanoma,TERMINATED,Closed due to historically slow enrollment compounded by the COVID-19 pandemic.,PHASE1,22,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2018-10-08,2020-05-05,2020-08-11,2018-07-24,2020-09-03,BioNTech US Inc.,"Apexigen America, Inc.",Metastatic Melanoma,NEO-PV-01; Nivolumab; Adjuvant; APX005M; ipilimumab,The rate of adverse events and severe adverse events leading to treatment discontinuation,United States,
NCT03632941,A Study to Evaluate Concurrent VRP-HER2 Vaccination and Pembrolizumab for Patients With Breast Cancer,TERMINATED,Enrollment issue,PHASE2,8,ACTUAL,RANDOMIZED,NONE,TREATMENT,2019-03-01,2023-09-03,2024-06-26,2018-08-16,2026-06-04,Herbert Lyerly,Merck Sharp & Dohme LLC,Breast Cancer; HER2+ Breast Cancer,VRP-HER2; Pembrolizumab,Number of Participants With a Positive T Cell Response Based on ELISpot Results,United States,
NCT03927222,Immunotherapy Targeted Against Cytomegalovirus in Patients With Newly-Diagnosed WHO Grade IV Unmethylated Glioma,TERMINATED,Resource shortage,PHASE2,6,ACTUAL,NA,NONE,TREATMENT,2019-09-30,2023-02-10,2023-02-10,2019-04-25,2024-04-08,"Mustafa Khasraw, MBChB, MD, FRCP, FRACP",,Glioblastoma,Human CMV pp65-LAMP mRNA-pulsed autologous DCs containing GM CSF; Temozolomide; Tetanus-Diphtheria Toxoid (Td); GM-CSF; 111-Indium-labeling of Cells for in vivo Trafficking Studies,Median Overall Survival (OS) of Subjects Receiving Td Pre-conditioning With GM-CSF,United States,
NCT03948763,A Study of mRNA-5671/V941 as Monotherapy and in Combination With Pembrolizumab (V941-001),TERMINATED,Business Reasons,PHASE1,70,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2019-06-26,2022-08-25,2022-08-25,2019-05-14,2025-01-28,Merck Sharp & Dohme LLC,"ModernaTX, Inc.","Neoplasms; Carcinoma, Non-Small-Cell Lung; Pancreatic Neoplasms; Colorectal Neoplasms",V941; Pembrolizumab,Dose-Limiting Toxicities (DLTs); Number of Participants Who Experienced an Adverse Event (AE); Number of Participants Who Discontinued Study Treatment Due to an AE,Australia; Hong Kong; New Zealand; Singapore; South Korea; Taiwan; United States,Y
NCT03956056,Neoantigen Peptide Vaccine Strategy in Pancreatic Cancer Patients Following Surgical Resection and Adjuvant Chemotherapy,TERMINATED,Insufficient funding/staff,PHASE1,12,ACTUAL,NA,NONE,TREATMENT,2020-02-13,2022-07-21,2023-07-06,2019-05-20,2024-07-17,Washington University School of Medicine,National Institutes of Health (NIH); National Cancer Institute (NCI),Pancreas Cancer; Pancreatic Cancer; Cancer of the Pancreas,Neoantigen Peptide Vaccine; Poly ICLC; Blood for immune monitoring,Safety of Neoantigen Peptide Vaccine as Measured by the Number of Serious Adverse Events,United States,
NCT03997474,ATL001 in Patients With Metastatic or Recurrent Melanoma,TERMINATED,Sponsor decision,"PHASE1,PHASE2",13,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2019-08-15,2024-09-03,2024-09-03,2019-06-25,2025-03-07,Achilles Therapeutics UK Limited,,Melanoma,ATL001; Checkpoint Inhibitor,Assessment of Treatment Emergent Adverse Events to Evaluate Safety and Tolerability: CTCAE,Spain; United Kingdom,
NCT04032847,ATL001 in Patients With Advanced Unresectable or Metastatic NSCLC,TERMINATED,Sponsor decision,"PHASE1,PHASE2",27,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2019-07-08,2024-09-26,2024-09-26,2019-07-25,2025-03-10,Achilles Therapeutics UK Limited,,Advanced Non Small Cell Lung Cancer,ATL001; Pembrolizumab,Assessment of Treatment Emergent Adverse Events (TEAEs) to Evaluate Safety and Tolerability,France; Germany; Spain; United Kingdom; United States,
NCT04163094,Ovarian Cancer Treatment With a Liposome Formulated mRNA Vaccine in Combination With (Neo-)Adjuvant Chemotherapy,TERMINATED,"Despite the extension of the original recruitment period, the target number of evaluable patients defined in the study protocol could not be reached and recruitment for the trial was stopped at that point of time.",PHASE1,8,ACTUAL,NA,NONE,TREATMENT,2019-11-25,2023-06-26,2023-06-26,2019-11-14,2023-06-29,University Medical Center Groningen,BioNTech SE,Ovarian Cancer,W_ova1 Vaccine,Change from baseline W_ova1 vaccine antigen-specific T cells in the peripheral blood (systemic induction / expansion of W_ova1 vaccine antigen-specific T cells).,Netherlands,
NCT04163952,Talimogene Laherparepvec and Panitumumab for the Treatment of Locally Advanced or Metastatic Squamous Cell Carcinoma of the Skin,TERMINATED,slow accrual,PHASE1,5,ACTUAL,NA,NONE,TREATMENT,2020-01-31,2025-03-28,2025-03-28,2019-11-15,2026-01-23,"Rutgers, The State University of New Jersey",National Cancer Institute (NCI),Locally Advanced Skin Squamous Cell Carcinoma; Metastatic Skin Squamous Cell Carcinoma; Recurrent Skin Squamous Cell Carcinoma,Panitumumab; Talimogene Laherparepvec,Number of Participants With Treatment Related Adverse Events as Assessed by CTCAE v4.0; Response Rate to Panitumumab as Measured by Evaluation of the Criteria in Solid Tumors (RECIST) 1.1.,United States,
NCT04336943,Durvalumab and Olaparib for the Treatment of Prostate Cancer in Men Predicted to Have a High Neoantigen Load,TERMINATED,Slow accrual,PHASE2,6,ACTUAL,NA,NONE,TREATMENT,2021-04-13,2024-06-20,2025-06-06,2020-04-07,2025-08-11,University of Washington,AstraZeneca,Biochemically Recurrent Prostate Carcinoma; Prostate Adenocarcinoma,Durvalumab; Olaparib; Quality-of-Life Assessment; Questionnaire Administration,Undetectable Prostate Specific Antigen (PSA),United States,
NCT04382898,PRO-MERIT (Prostate Cancer Messenger RNA Immunotherapy),TERMINATED,Sponsor decision,"PHASE1,PHASE2",75,ACTUAL,RANDOMIZED,NONE,TREATMENT,2019-12-19,2024-01-23,2024-01-23,2020-05-11,2025-03-20,BioNTech SE,,Prostate Cancer,BNT112; Cemiplimab,"Part 1: Number of Participants With Dose Limiting Toxicities (DLTs); Number of Participants With Treatment-Emergent Adverse Events (TEAEs), Serious TEAEs and TEAEs Related to Trial Procedure; Part 2 Arm 1a: Objective Response Rate (ORR); Part 2 Arm 1b: Objective Response Rate (ORR)",Germany; Hungary; United Kingdom; United States,
NCT04455503,Study of Adjuvant Immunotherapy With EVX-02 and Anti-PD-1,TERMINATED,"Based on the promising interim results of study part 1, it was decided to further accelerate the development of the 2nd generation DNA plasmid immunotherapy. Therefore enrolment of patients was completed after study part 1","PHASE1,PHASE2",15,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2020-07-13,2023-02-28,2023-03-28,2020-07-02,2024-02-21,Evaxion Biotech A/S,Novotech (Australia) Pty Limited,Melanoma Stage IV; Melanoma Stage III,EVX-02A; EVX-02B; EVX-02A OR EVX-02B,Safety and tolerability (Incidence of Treatment-Emergent Adverse Events); Safety and tolerability (Incidence of Treatment-Emergent Adverse Events) measure through Vital Sign- blood pressure; Safety and tolerability (Incidence of Treatment-Emergent Adverse Events) measure through Vital Sign-heart rate; Safety and tolerability (Incidence of Treatment-Emergent Adverse Events) measure through Physical,Australia,
NCT04596033,"TiTAN-1: Safety, Proliferation and Persistence of GEN-011 Autologous Cell Therapy",TERMINATED,Business reasons,PHASE1,49,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2020-11-11,2022-06-27,2022-06-27,2020-10-22,2022-07-15,"Genocea Biosciences, Inc.",,Melanoma; Non-small Cell Lung Cancer; Squamous Cell Carcinoma of Head and Neck; Urothelial Carcinoma; Renal Cell Carcinoma; Small-cell Lung Cancer; Cutaneous Squamous Cell Carcinoma; Anal Squamous Cell Carcinoma; Merkel Cell Carcinoma,GEN-011; IL-2; Fludarabine; Cyclophosphamide,Incidence of Treatment-Emergent Adverse Events,United States,
NCT04785365,Long-Term Follow-Up Study of Patients Receiving ATL001,TERMINATED,"The long-term follow-up of patients is being migrated to the original (parent) study protocols (Trial ID: ATX-NS-001 / NCT: NCT04032847;Trial ID: ATX-ME-001 / NCT: NCT03997474). Consequently, the ATX-LTFU-001 study is being terminated by the Sponsor.",PHASE2,1,ACTUAL,NA,NONE,OTHER,2022-06-01,2023-10-18,2023-10-18,2021-03-05,2023-11-21,Achilles Therapeutics UK Limited,,Melanoma; Advanced Non Small Cell Lung Cancer,Biological: ATL001,Assessment of adverse events to evaluate long-term Safety and Tolerability of ATL001; Assessment of autoimmune adverse events; Assessment of new malignancies; Assessment of the use of medications to manage ATL001-related toxicities,United Kingdom,
NCT04923802,Multi-Omics Testing for Immunotherapy Efficacy Evaluation (MOTIVATION),TERMINATED,Unable to recruit sufficient numbers of patients,,13,ACTUAL,,,,2021-06-24,2021-12-31,2021-12-31,2021-06-11,2024-03-08,"GeneCast Biotechnology Co., Ltd.","Xinqiao Hospital of Chongqing; Shanghai Pulmonary Hospital, Shanghai, China; Shanghai Chest Hospital; Wuhan University; Renmin Hospital of Wuhan University; Tongji Hospital; Southwest Hospital, China; Daping Hospital and the Research Institute of Surgery of the Third Military Medical University; People's Hospital of Chongqing; Sichuan Cancer Hospital and Research Institute; The Second Affiliated Hospital of Kunming Medical University; First Affiliated Hospital of Wenzhou Medical University; The Affiliated Hospital Of Southwest Medical University; Guizhou Provincial People's Hospital; The First Affiliated Hospital of Zhengzhou University; Shanxi Province Cancer Hospital; First Hospital of China Medical University; Fujian Provincial Hospital; Peking University Shenzhen Hospital; Affiliated Cancer Hospital of Shantou University Medical College; The Second Affiliated Hospital, Guangzhou University of Traditional Chinese Medicine",Non-small Cell Lung Cancer; Neoantigen; Next-generation Sequencing; Biomarker,,Progression free survival (PFS); Disease-free survival (DFS),China,
NCT04930055,Immune Responses in Oncology Patients to Novel Coronavirus Vaccines (IROC),TERMINATED,PI had decided to terminate the study,,2206,ACTUAL,,,,2021-06-30,2021-11-01,2022-03-08,2021-06-18,2023-05-19,Indiana University,,Cancer,COVID-19 Vaccination,Adverse Event Collection,United States,
NCT04990479,Nous-PEV: a Novel Immunotherapy for Lung Cancer and Melanoma,TERMINATED,Terminated by Sponsor,PHASE1,7,ACTUAL,NON_RANDOMIZED,NONE,TREATMENT,2021-06-11,2024-03-05,2024-03-05,2021-08-04,2025-03-20,Nouscom SRL,,Melanoma (Skin); Non-Small-Cell Lung Carcinoma,GAd-PEV; MVA-PEV,"Safety and tolerability: incidence of treatment- emerging adverse events. AEs characterized by type, severity (graded by CTCAE v.5.0), Timing, seriousness and relationship to study treatments.",Belgium; Spain; United Kingdom,
NCT05000216,COVID-19 Booster Vaccine in Autoimmune Disease Non-Responders,TERMINATED,The study was closed due to continued enrollment hurdles.,PHASE2,258,ACTUAL,RANDOMIZED,NONE,PREVENTION,2021-08-13,2023-06-22,2024-03-28,2021-08-11,2026-06-10,National Institute of Allergy and Infectious Diseases (NIAID),"Autoimmunity Centers of Excellence; Rho Federal Systems Division, Inc.",Rheumatoid Arthritis (RA); Systemic Lupus Erythematosus (SLE); Pemphigus Vulgaris; Multiple Sclerosis (MS); Systemic Sclerosis (SSc); Pediatric SLE; Juvenile Idiopathic Arthritis (JIA); Juvenile Dermatomyositis (JDM); Pediatric-Onset Multiple Sclerosis (POMS),"Moderna mRNA-1273; BNT162b2; Ad26.COV2.S; Continue IS (MMF or MPA); Continue IS (MTX); Continue IS (B cell depletion therapy); Monovalent [B.1.351] CoV2 preS dTM-AS03; Withhold IS (MMF or MPA); Withhold IS (MTX); Withhold IS (B cell depletion therapy); Moderna mRNA-1273, Bivalent; BNT162b2, Bivalent",Percent of Stage 1 Adult Participants Who Have a Protective Antibody Response at Week 4; Percent of Stage 2 Adult Participants Who Have a Protective Antibody Response at Week 4; Percent of Stage 2 Pediatric Participants Who Have a Protective Antibody Response at Week 4,United States,
NCT05016622,Booster Dose Trial,TERMINATED,"Due to decreased level of engagement and available funding, PI determined it appropriate to close the study prior to visit occurring. IRB approved.",PHASE2,106,ACTUAL,NA,NONE,PREVENTION,2021-08-10,2022-04-20,2023-05-21,2021-08-23,2024-07-31,Montefiore Medical Center,Albert Einstein College of Medicine; National Cancer Institute (NCI); The Leukemia and Lymphoma Society,Cancer,BNT162b2 vaccine,Rate of Seroconversion for SARS-CoV-2 Spike Antibody Among Patients Who Were Seronegative After Primary Series of COVID-19 Vaccinations; Percentage of Patients Who Were 'Responders' After 2nd Booster Dose,United States,
NCT05025514,Retrospective Study of COVID-19 Vaccines in Patients Undergoing Immunotherapy for Cancer.,TERMINATED,end of the COVID outbreak,,125,ACTUAL,,,,2021-10-19,2022-09-16,2022-09-16,2021-08-27,2026-06-22,Centre Hospitalier Universitaire de Nīmes,"University Hospital, Montpellier; Institut du Cancer de Montpellier - Val d'Aurelle; Centre Hospitalier de Bagnols-sur-Cèze; University Hospital, Toulouse; Centre Hospitalier de Cahors; Centre Hospitalier Intercommunal de Castres; Clinique Claude Bernard, Albi; Centre Hospitalier de Bigorre - Tarbes; Clinique La Croix du Sud Quint-Fonsegrives; Clinique Les Cèdres Cornebarrieu; CENTRE HOSPITALIER COMMINGES PYRENEES; Centre Hospitalier Albi",Cancer; Immunotherapy,,Tolerance of immunotherapy following anti-COVID-19 vaccination; Tolerance of immunotherapy following anti-COVID-19 vaccination; Tolerance of immunotherapy following anti-COVID-19 vaccination; Tolerance of immunotherapy following anti-COVID-19 vaccination; Tolerance of immunotherapy following anti-COVID-19 vaccination; Tolerance of immunotherapy following anti-COVID-19 vaccination; Tolerance of imm,France,
NCT05050461,Immune Response After SARS-CoV-2 (COVID-19) Vaccination in a Context of Non-Hodgkin Lymphoma,TERMINATED,"Given the evolution of Covid 19, patient inclusions became very difficult or even non-existent in all participating centers over time",NA,120,ACTUAL,NON_RANDOMIZED,NONE,HEALTH_SERVICES_RESEARCH,2021-11-15,2023-02-28,2023-11-15,2021-09-20,2026-05-06,Versailles Hospital,,"Non-hodgkin Lymphoma,B Cell; Vaccination Failure",Immunological analyses,Comparison of humoral (especially anti-SARS-CoV-2 antibody levels) and T cell memory responses in adult patients with B-NHL depending on whether or not they were exposed to anti-CD20 monoclonal antibody treatment in the year before vaccination.,France,
NCT05067933,A Ph 2 Trial With an Oral Tableted COVID-19 Vaccine,TERMINATED,The study drug was no longer available.,PHASE2,66,ACTUAL,RANDOMIZED,TRIPLE,PREVENTION,2021-10-22,2022-06-10,2023-05-09,2021-10-05,2025-04-13,Vaxart,,COVID-19,VXA-CoV2-1.1-S; Placebo Tablets,Number of Participants Who Experienced a Solicited Symptom of Reactogenicity; Severity of Solicited Symptoms of Reactogenicity; Number of Participants Who Experienced an Unsolicited Treatment-emergent Adverse Event (TEAE) During the Active Treatment Period; Severity of Unsolicited TEAEs During the Active Treatment Period; Number of Participants Who Experienced a Medically Attended Adverse Event (M,United States,
